strategy,seed,effort_at_95,wss_at_95
relevance,0,62.021857923497265,32.978142076502735
random,0,93.44262295081967,1.5573770491803316
relevance,1,49.45355191256831,45.54644808743169
random,1,96.72131147540983,-1.7213114754098342
relevance,2,64.48087431693989,30.51912568306011
random,2,94.80874316939891,0.1912568306010911
relevance,3,57.377049180327866,37.622950819672134
random,3,96.44808743169399,-1.4480874316939918
relevance,4,60.10928961748634,34.89071038251366
random,4,92.07650273224044,2.923497267759558
relevance,5,61.202185792349724,33.797814207650276
random,5,94.80874316939891,0.1912568306010911
relevance,6,63.9344262295082,31.065573770491802
random,6,92.07650273224044,2.923497267759558
relevance,7,64.48087431693989,30.51912568306011
random,7,89.61748633879782,5.382513661202182
relevance,8,63.387978142076506,31.612021857923494
random,8,87.97814207650273,7.021857923497265
relevance,9,48.36065573770492,46.63934426229508
random,9,93.44262295081967,1.5573770491803316
