strategy,seed,effort_at_95,wss_at_95,variant
relevance,0,62.021857923497265,32.978142076502735,logreg_unigram
relevance,1,49.45355191256831,45.54644808743169,logreg_unigram
relevance,2,64.48087431693989,30.51912568306011,logreg_unigram
relevance,3,57.377049180327866,37.622950819672134,logreg_unigram
relevance,4,60.10928961748634,34.89071038251366,logreg_unigram
relevance,0,56.557377049180324,38.442622950819676,logreg_bigram
relevance,1,55.19125683060109,39.80874316939891,logreg_bigram
relevance,2,57.10382513661202,37.89617486338798,logreg_bigram
relevance,3,57.650273224043715,37.349726775956285,logreg_bigram
relevance,4,56.830601092896174,38.169398907103826,logreg_bigram
relevance,0,66.93989071038251,28.060109289617486,naive_bayes
relevance,1,53.005464480874316,41.994535519125684,naive_bayes
relevance,2,62.295081967213115,32.704918032786885,naive_bayes
relevance,3,58.19672131147541,36.80327868852459,naive_bayes
relevance,4,63.9344262295082,31.065573770491802,naive_bayes
